sample	Cluster
R79711	cluster6
R63582	cluster6
R76386	cluster6
R77222	cluster6
R78229	cluster6
R96582	cluster6
R39662	cluster6
R73847	cluster6
R53743	cluster6
R18615	cluster6
R35339	cluster6
R26113	cluster6
R16323	cluster6
R73398	cluster6
R33635	cluster6
R68521	cluster6
R84421	cluster6
R68212	cluster6
R32312	cluster6
R43792	cluster6
R82571	cluster6
R95641	cluster6
R52234	cluster6
R42962	cluster6
R89943	cluster6
R39693	cluster6
R48731	cluster6
R13838	cluster6
R83141	cluster6
R68351	cluster6
R92271	cluster6
R21926	cluster6
R46343	cluster6
R74551	cluster6
R14772	cluster6
R97775	cluster6
R29638	cluster6
R72578	cluster6
R72356	cluster6
R32123	cluster6
R64191	cluster6
R27267	cluster6
R15446	cluster6
R33777	cluster6
R88326	cluster6
R76298	cluster6
R57996	cluster6
R99976	cluster6
R25616	cluster6
R75851	cluster6
R42955	cluster6
R61681	cluster6
R74544	cluster6
R86771	cluster6
R87144	cluster6
R12132	cluster6
R32954	cluster6
R79366	cluster6
R77635	cluster6
R97971	cluster6
R75697	cluster6
R35958	cluster6
R78149	cluster6
R46711	cluster6
R83481	cluster6
R66158	cluster6
R57663	cluster6
R54919	cluster6
R36713	cluster6
R94882	cluster6
R82181	cluster6
R48762	cluster6
R12163	cluster6
R71493	cluster6
R77111	cluster6
R46541	cluster6
R22718	cluster6
R76216	cluster6
R97184	cluster6
R27386	cluster6
R36821	cluster6
R95811	cluster6
R48164	cluster6
R61218	cluster6
R57382	cluster6
B85693	cluster6
R35819	cluster6
R82342	cluster6
R57861	cluster6
R24618	cluster6
R54874	cluster6
R78912	cluster6
R48157	cluster6
R79484	cluster6
R25486	cluster6
R14396	cluster6
R91724	cluster6
R82736	cluster6
R46595	cluster6
R41227	cluster6
R47254	cluster6
R42176	cluster6
R32198	cluster6
R49934	cluster6
R54985	cluster6
R92691	cluster6
R91786	cluster6
R56241	cluster6
R74353	cluster6
R94638	cluster6
R56125	cluster6
R34859	cluster6
R66222	cluster6
R18329	cluster6
R57179	cluster6
R53646	cluster6
R51525	cluster6
R82991	cluster6
R23118	cluster6
R21734	cluster6
R61851	cluster6
R18534	cluster6
R14424	cluster6
R64994	cluster6
R77763	cluster6
R44423	cluster6
R76719	cluster6
R35212	cluster6
R18851	cluster6
B92271	cluster6
B15474	cluster6
R15474	cluster6
B78163	cluster6
R33888	cluster6
R54144	cluster6
R52832	cluster6
R63119	cluster6
R38518	cluster6
R73632	cluster6
R66482	cluster6
R97959	cluster6
R95525	cluster6
R27915	cluster6
R29979	cluster6
R68989	cluster6
R22158	cluster6
R33643	cluster6
R48547	cluster6
R43657	cluster6
R98343	cluster6
R42542	cluster6
R21456	cluster6
R23295	cluster6
R24996	cluster6
R22423	cluster6
R19584	cluster6
R68649	cluster6
R72561	cluster6
R78163	cluster7
R54359	cluster7
R32881	cluster7
R19171	cluster7
R19747	cluster7
R39126	cluster7
R15519	cluster7
R28242	cluster7
R15136	cluster7
R54815	cluster7
R54676	cluster7
R23288	cluster7
R76953	cluster7
R12574	cluster7
R27282	cluster7
R26916	cluster7
R63799	cluster7
R67384	cluster7
R69342	cluster7
R71233	cluster7
R79343	cluster7
R16472	cluster7
R85693	cluster7
R62194	cluster7
R31739	cluster7
R75867	cluster7
R33347	cluster7
R34658	cluster7
R67453	cluster7
R53839	cluster7
R25327	cluster7
R54699	cluster7
R59793	cluster7
R44864	cluster7
R22361	cluster7
R43922	cluster7
R33165	cluster7
R69455	cluster7
R13595	cluster7
R11888	cluster7
R21432	cluster7
B52972	cluster7
R46933	cluster7
R31569	cluster7
R57344	cluster7
R76324	cluster7
R74338	cluster7
R62563	cluster7
R27811	cluster7
R81259	cluster7
R54484	cluster7
R72975	cluster7
R73243	cluster7
R84761	cluster7
R65529	cluster7
R13366	cluster7
R57854	cluster7
R53787	cluster7
R97383	cluster7
R33555	cluster7
R42816	cluster7
R59642	cluster7
R94454	cluster7
R37794	cluster7
B13432	cluster7
R32557	cluster7
R72268	cluster7
R46151	cluster7
R63322	cluster7
R25512	cluster7
R96686	cluster7
R36153	cluster7
R69682	cluster7
R13167	cluster7
R54727	cluster7
R51584	cluster7
R89213	cluster7
R63459	cluster7
R72748	cluster7
R26221	cluster7
R78879	cluster7
R43112	cluster7
R59894	cluster7
R75277	cluster7
R63752	cluster7
R34673	cluster7
R82358	cluster7
R66857	cluster7
R83578	cluster7
R54449	cluster7
R55134	cluster7
R83391	cluster7
R95969	cluster7
R78581	cluster7
R97368	cluster7
R37867	cluster7
B13366	cluster7
R93424	cluster7
R56399	cluster8
R83871	cluster8
R33142	cluster8
R48887	cluster8
R32874	cluster8
R14814	cluster8
R87985	cluster8
R41443	cluster8
R51591	cluster8
R25389	cluster8
R83469	cluster8
R98978	cluster8
R47587	cluster8
R46734	cluster8
R89966	cluster8
R38437	cluster8
R98621	cluster8
R19938	cluster8
R92552	cluster8
R45831	cluster8
R93984	cluster8
R54992	cluster8
R98933	cluster8
R18168	cluster8
R92618	cluster8
R97767	cluster8
R92228	cluster8
R62946	cluster8
R77666	cluster8
R19355	cluster8
R63737	cluster8
R21425	cluster8
R71616	cluster8
R81684	cluster8
R85737	cluster8
R49618	cluster8
R52972	cluster8
R31654	cluster8
R14233	cluster8
R59363	cluster8
R67923	cluster8
R71528	cluster8
R29426	cluster8
R31553	cluster8
R42284	cluster8
R43938	cluster8
R25764	cluster8
R88165	cluster8
R42993	cluster8
R26859	cluster8
R87371	cluster8
